Package size[B],Number of sends,Performance[Mb/s],Delay[s]
1600,50000,3495.9452391619175,3.6613845825195314e-06
3200,50000,6306.7054166128255,4.0591716766357425e-06
4800,50000,8602.436800149551,4.46385145187378e-06
6400,50000,10470.259108585336,4.890041351318359e-06
8000,50000,12236.74221081979,5.23015022277832e-06
9600,50000,13359.373393441467,5.7487726211547855e-06
11200,50000,15011.507531325433,5.968754291534424e-06
12800,50000,16042.00945346568,6.383240222930908e-06
14400,50000,16968.07741242202,6.789219379425049e-06
16000,50000,17904.61356422165,7.148995399475098e-06
17600,50000,17881.781789201614,7.873935699462891e-06
19200,50000,18909.903475838433,8.122727870941162e-06
20800,50000,19648.57130309149,8.468809127807618e-06
22400,50000,20554.84844606487,8.718137741088866e-06
24000,50000,21010.3124779867,9.138369560241698e-06
25600,50000,22613.880689941852,9.056384563446045e-06
27200,50000,22143.572365436172,9.826779365539552e-06
28800,50000,23979.22694180178,9.608316421508788e-06
30400,50000,25448.391131761455,9.556596279144287e-06
32000,50000,25648.075955668322,9.981255531311036e-06
