Package size[B],Number of sends,Performance[Mb/s],Delay[s]
1600,50000,44.88637684348134,0.0002851644730567932
3200,50000,115.52107021384842,0.00022160459518432617
4800,50000,167.7499261452055,0.0002289121723175049
6400,50000,214.11731610480277,0.00023912124872207643
8000,50000,252.65831847263635,0.00025330652236938474
9600,50000,293.51729927366523,0.0002616540837287903
11200,50000,392.3791917066489,0.0002283505392074585
12800,50000,374.4589546529456,0.00027346121311187745
14400,50000,484.44683668131694,0.00023779699087142945
16000,50000,528.710446027123,0.00024209848880767822
17600,50000,503.5397956078197,0.00027962040185928344
19200,50000,699.2070854218765,0.00021967740774154663
20800,50000,629.3762735906587,0.00026438874006271364
22400,50000,800.1262847081404,0.00022396464586257935
24000,50000,690.1661080333414,0.0002781938982009888
25600,50000,863.4979306953898,0.00023717485904693603
27200,50000,773.1483952102,0.0002814466166496277
28800,50000,804.7139241971073,0.00028631292819976807
30400,50000,818.9754694520958,0.0002969563913345337
32000,50000,758.6737446796782,0.00033743094682693484
