Package size[B],Number of sends,Performance[Mb/s],Delay[s]
1600,50000,423.780038586675,3.020434856414795e-05
3200,50000,640.6023730657986,3.9962387084960935e-05
4800,50000,776.1821882680407,4.94729208946228e-05
6400,50000,864.7280937941767,5.920936346054077e-05
8000,50000,931.3919406586008,6.871435880661011e-05
9600,50000,981.1639670656576,7.827437877655029e-05
11200,50000,1022.2575181263126,8.764914751052856e-05
12800,50000,1060.3512838470658,9.657176971435547e-05
14400,50000,1076.0639700473623,0.0001070568323135376
16000,50000,1096.0308610343143,0.00011678503274917603
17600,50000,1122.8768103802113,0.00012539220571517945
19200,50000,1144.4868275624585,0.00013420862197875976
20800,50000,1148.7005808315453,0.00014485933303833007
22400,50000,1160.4410075315413,0.00015442404985427857
24000,50000,1180.0832305989102,0.00016270038843154908
25600,50000,1193.745309511054,0.00017156088352203368
27200,50000,1192.8541954890904,0.0001824196124076843
28800,50000,1199.2621729248515,0.00019211812496185303
30400,50000,1216.2051218755757,0.00019996626853942872
32000,50000,1225.901979019888,0.00020882583141326904
