Package size[B],Number of sends,Performance[Mb/s],Delay[s]
1600,50000,64.16017081942738,0.00019950071573257447
3200,50000,114.24113840302003,0.00022408740282058715
4800,50000,218.8086153940792,0.00017549583196640014
6400,50000,220.54557732555247,0.00023215156078338622
8000,50000,239.3725394154772,0.0002673656725883484
9600,50000,260.9705225139941,0.00029428611040115355
11200,50000,403.9640458861719,0.000221801917552948
12800,50000,323.8406994131698,0.00031620485067367554
14400,50000,318.9463539550827,0.00036118926763534546
16000,50000,466.56645329545813,0.00027434462785720827
17600,50000,395.5328766650968,0.00035597546577453615
19200,50000,713.5873847821738,0.00021525044202804565
20800,50000,435.318480723862,0.00038224887609481813
22400,50000,530.3190324813064,0.00033790980339050295
24000,50000,542.1047417378031,0.0003541750979423523
25600,50000,733.5249170406036,0.0002791997861862183
27200,50000,603.3569869252922,0.00036064884424209597
28800,50000,775.661783378872,0.00029703667879104614
30400,50000,824.3037116913587,0.0002950368857383728
32000,50000,794.6099937500072,0.00032217062711715696
